CREATION_DATE,Sales_Channel,Party_Name,Account_Number,Account_Name,Order_Number,Order_Line_Id,Item_Cat_New,SKU,List_Price,Total_Discount,Discount_Sub_Category_1,Discount_Sub_Category_2,Discount_Sub_Category_3,Gross_Sales,Cost_of_Goods_Sold,Other_Cost_of_Goods_Sold,Gross_Margin,Total_Units_sold,Creation_Date_Only,Creation_Time
2025-01-27 11:09:11,Sales Channel 6,Party 1731,1009900,Customer Name1522,202813777,11100029,Item Category73,SKU503,1948,-1524.04,0,0,-1524.040039,423.96,-1731.275,15.16,-1292.155,1,2025-01-27,11:09:11
2025-02-07 11:10:13,Sales Channel 10,Party 1908,1003781,Customer Name3964,202805912,11100030,Item Category56,SKU2490,280,0,0,0,0,280,-61.823,-9.172,209.005,1,2025-02-07,11:10:13
2025-02-04 18:12:44,Sales Channel 6,Party 2617,1006125,Customer Name2359,202403519,11100031,Item Category15,SKU305,10876,-3969.08,-3261.080078,-708,0,6906.92,-3373.597,-214.32,3319.003,1,2025-02-04,18:12:44
2025-02-12 08:18:16,Sales Channel 6,Party 1877,1002196,Customer Name5223,202925864,11100032,Item Category53,SKU1259,4588,-1784,-1784,0,0,2804,-1856.662,-200.04,747.298,1,2025-02-12,08:18:16
2025-01-07 11:07:22,Sales Channel 6,Party 2009,1003971,Customer Name623,202949080,11100033,Item Category25,SKU1954,1900,0,0,0,0,1900,-1039.205,74.52,935.315,1,2025-01-07,11:07:22
2025-02-25 15:17:11,Sales Channel 6,Party 194,1006776,Customer Name2587,202795419,11100034,Item Category102,SKU1447,290283.8438,-195.84,-24675.83984,0,0,265608,-213471.418,3291.12,55427.702,126,2025-02-25,15:17:11
2025-01-07 15:13:14,Sales Channel 6,Party 1731,1000573,Customer Name7446,202613619,11100035,Item Category104,SKU45,2228,-1679,0,0,-1679,549,-1423.763,-233.76,-1108.523,1,2025-01-07,15:13:14
2025-01-18 08:14:53,Sales Channel 4,Party 2320,1008580,Customer Name6020,202571501,11100036,Item Category100,SKU1267,3840,0,0,0,0,3840,-1236.597,-122.24,2481.163,16,2025-01-18,08:14:53
2025-02-27 15:13:48,Sales Channel 6,Party 1741,1007680,Customer Name1559,202459630,11100037,Item Category87,SKU1388,5956,-104.24,-104.2399979,0,0,5851.76,-1879.786,-287.32,3684.654,1,2025-02-27,15:13:48
2025-02-10 22:11:49,Sales Channel 4,Party 755,1002106,Customer Name5626,202682677,11100038,Item Category34,SKU2242,596,0,0,0,0,596,-419.664,-54.36,121.976,1,2025-02-10,22:11:49
2025-02-27 08:12:32,Sales Channel 6,Party 1741,1007680,Customer Name1559,202891366,11100039,Item Category104,SKU672,3188,-818.24,-818.2399902,0,0,2369.76,-1324.996,-245.68,799.084,1,2025-02-27,08:12:32
2025-02-27 22:14:06,Sales Channel 6,Party 1741,1007680,Customer Name1559,202898577,11100040,Item Category63,SKU2305,772,-13.52,-13.52000046,0,0,758.48,-152.448,-16.08,589.952,1,2025-02-27,22:14:06
2025-02-21 08:12:45,Sales Channel 6,Party 3229,1000569,Customer Name1942,203040816,11100041,Item Category102,SKU1497,2128,-516,-516,0,0,1612,-1188.061,50.96,474.899,1,2025-02-21,08:12:45
2025-01-24 15:14:17,Sales Channel 6,Party 75,1005219,Customer Name4963,203043313,11100042,Item Category103,SKU276,3932,-134.36,-38.36000061,-96,0,3797.64,-1666.28,-87.12,2044.24,1,2025-01-24,15:14:17
2025-02-17 22:19:52,Sales Channel 6,Party 1741,1007680,Customer Name1559,202775971,11100043,Item Category33,SKU559,3256,-736.88,-736.8800049,0,0,2519.12,-1674.617,-134.72,709.783,1,2025-02-17,22:19:52
2025-02-06 08:11:35,Sales Channel 6,Party 1741,1007680,Customer Name1559,202885171,11100044,Item Category34,SKU328,1660,-736.48,-736.4799805,0,0,923.52,-541.292,-57.56,324.668,1,2025-02-06,08:11:35
2025-01-13 15:11:39,Sales Channel 4,Party 1023,1008869,Customer Name3258,202492213,11100045,Item Category53,SKU551,2904,0,0,0,0,2904,-1636.762,-185,1082.238,1,2025-01-13,15:11:39
2025-01-30 08:11:31,Sales Channel 6,Party 1741,1007680,Customer Name1559,202692626,11100046,Item Category33,SKU152,2644,-624,-624,0,0,2020,-1432.433,-132.8,454.767,1,2025-01-30,08:11:31
2025-01-06 22:11:08,Sales Channel 6,Party 486,1011140,Customer Name3855,202906247,11100047,Item Category102,SKU558,5568,-1132.68,-2265.360107,0,0,3302.64,-2915.726,92.32,479.234,2,2025-01-06,22:11:08
2025-01-03 22:25:49,Sales Channel 6,Party 1741,1007680,Customer Name1559,202856432,11100048,Item Category33,SKU152,2644,-722.24,-722.2399902,0,0,1921.76,-1432.433,-132.8,356.527,1,2025-01-03,22:25:49
2025-02-07 08:12:27,Sales Channel 6,Party 1741,1007680,Customer Name1559,202438592,11100049,Item Category112,SKU858,3688,-1778.04,-1778.040039,0,0,1909.96,-820.95,-76.04,1012.97,1,2025-02-07,08:12:27
2025-02-05 08:10:27,Sales Channel 4,Party 3068,1001938,Customer Name2305,202958553,11100050,Item Category25,SKU1648,15360,-788,0,-6304,0,9056,-7101.981,705.28,2659.299,8,2025-02-05,08:10:27
2025-02-27 08:12:13,Sales Channel 6,Party 1684,1009663,Customer Name7163,202879871,11100051,Item Category62,SKU1382,11028,-1776,-696,-4632,0,5700,-5009.622,143.88,834.258,3,2025-02-27,08:12:13
2025-02-24 11:07:46,Sales Channel 6,Party 2841,1005440,Customer Name1433,202571317,11100052,Item Category62,SKU1019,6076,-1448.48,-1260.47998,-188,0,4627.52,-2529.017,28.92,2127.423,1,2025-02-24,11:07:46
2025-02-18 15:11:50,Sales Channel 6,Party 1731,1012344,Customer Name2677,202750068,11100053,Item Category34,SKU1739,544,10.44,0,0,10.43999958,554.44,-427.123,-46.08,81.237,1,2025-02-18,15:11:50
2025-01-31 15:11:48,Sales Channel 4,Party 3476,1013754,Customer Name359,202877637,11100054,Item Category33,SKU2745,1748,0,0,0,0,1748,-1420.744,-132.8,194.456,1,2025-01-31,15:11:48
2025-02-27 15:13:48,Sales Channel 6,Party 1741,1007680,Customer Name1559,203038449,11100055,Item Category94,SKU2704,2808,-548.28,-548.2800293,0,0,2259.72,-1502.955,-163.44,593.325,1,2025-02-27,15:13:48
2025-01-30 18:13:08,Sales Channel 4,Party 2404,1014062,Customer Name4002,202494138,11100056,Item Category52,SKU2761,2248,0,0,0,0,2248,-676.378,-61.52,1510.102,2,2025-01-30,18:13:08
2025-02-20 08:16:09,Sales Channel 6,Party 1741,1007680,Customer Name1559,202857326,11100057,Item Category104,SKU116,2056,-389.68,-389.6799927,0,0,1666.32,-873.584,-187,605.736,1,2025-02-20,08:16:09
2025-02-25 22:12:49,Sales Channel 4,Party 1537,1012560,Customer Name6582,202930452,11100058,Item Category115,SKU1211,3608,0,0,0,0,3608,-2112.321,-355.28,1140.399,1,2025-02-25,22:12:49
2025-02-24 15:13:50,Sales Channel 6,Party 1741,1007680,Customer Name1559,203005789,11100059,Item Category102,SKU558,2496,-574.24,-574.2399902,0,0,1921.76,-1457.863,46.16,510.057,1,2025-02-24,15:13:50
2025-02-12 18:11:37,Sales Channel 6,Party 2640,1008824,Customer Name1178,202746997,11100060,Item Category87,SKU2662,10488,-1808,-3616,0,0,6872,-3827.736,-527.92,2516.344,2,2025-02-12,18:11:37
2025-02-10 11:08:13,Sales Channel 4,Party 3526,1013965,Customer Name6867,202476617,11100061,Item Category25,SKU1453,1928,0,0,0,0,1928,-1053.953,74.52,948.567,1,2025-02-10,11:08:13
2025-02-27 11:15:17,Sales Channel 6,Party 1741,1007680,Customer Name1559,202660953,11100062,Item Category104,SKU510,2348,-371.24,-371.2399902,0,0,1976.76,-927.45,-182.72,866.59,1,2025-02-27,11:15:17
2025-02-21 08:13:24,Sales Channel 6,Party 1741,1007680,Customer Name1559,202432223,11100063,Item Category117,SKU1544,10876,-3196.8,-3196.800049,0,0,7679.2,-3013.082,-284.64,4381.478,1,2025-02-21,08:13:24
2025-02-26 22:14:07,Sales Channel 6,Party 1218,1014620,Customer Name4329,202514277,11100064,Item Category102,SKU2329,7208,-1268,-2536,0,0,4672,-3591.55,53.28,1133.73,2,2025-02-26,22:14:07
2025-02-05 18:14:15,Sales Channel 6,Party 294,1003271,Customer Name4727,203030039,11100065,Item Category27,SKU1011,2456,-460,-460,0,0,1996,-1535.523,-17.68,442.797,1,2025-02-05,18:14:15
2025-02-14 18:14:41,Sales Channel 6,Party 1741,1007680,Customer Name1559,202648886,11100066,Item Category34,SKU1725,964,-260.56,-260.5599976,0,0,703.44,-393.145,-46.08,264.215,1,2025-02-14,18:14:41
2025-02-22 18:04:32,Sales Channel 4,Party 584,1005280,Customer Name6316,202978142,11100067,Item Category25,SKU2226,1364,0,0,0,0,1364,-861.382,88.16,590.778,1,2025-02-22,18:04:32
2025-01-31 08:14:19,Sales Channel 4,Party 3616,1007481,Customer Name499,202955484,11100068,Item Category68,SKU1755,1204,0,0,0,0,1204,-566.96,-114.28,522.76,1,2025-01-31,08:14:19
2025-02-14 15:11:20,Sales Channel 6,Party 1741,1007680,Customer Name1559,203056648,11100069,Item Category73,SKU1541,3844,-939.76,-939.7600098,0,0,2904.24,-1923.434,0.52,981.326,1,2025-02-14,15:11:20
2025-01-24 22:13:11,Sales Channel 6,Party 1741,1007680,Customer Name1559,202805632,11100070,Item Category34,SKU915,1656,-736.4,-736.4000244,0,0,919.6,-542.064,-62.72,314.816,1,2025-01-24,22:13:11
2025-01-02 18:10:11,Sales Channel 6,Party 2009,1003971,Customer Name623,202481706,11100071,Item Category34,SKU2545,2108,0,0,0,0,2108,-815.803,-68.16,1224.037,1,2025-01-02,18:10:11
2025-02-18 08:11:52,Sales Channel 6,Party 2662,1011755,Customer Name3889,203043140,11100072,Item Category52,SKU2643,2552,-102.08,-102.0800018,0,0,2449.92,-425.531,-51.64,1972.749,1,2025-02-18,08:11:52
2025-01-30 08:11:33,Sales Channel 6,Party 1741,1007680,Customer Name1559,202895222,11100073,Item Category94,SKU933,3608,-939.56,-939.5599976,0,0,2668.44,-1832.668,-131.76,704.012,1,2025-01-30,08:11:33
2025-01-23 15:13:30,Sales Channel 6,Party 328,1000065,Customer Name2140,202463849,11100074,Item Category104,SKU1562,5388,-398.12,-1194.359985,0,0,4193.64,-2641.264,-529.32,1023.056,3,2025-01-23,15:13:30
2025-02-24 15:13:44,Sales Channel 6,Party 1741,1007680,Customer Name1559,202891214,11100075,Item Category25,SKU2237,2216,-758,-758,0,0,1458,-1107.88,74.52,424.64,1,2025-02-24,15:13:44
2025-01-07 15:13:14,Sales Channel 4,Party 1023,1006082,Customer Name3327,202958323,11100076,Item Category52,SKU2380,704,0,0,0,0,704,-377.528,-51.64,274.832,1,2025-01-07,15:13:14
2025-01-29 15:15:55,Sales Channel 6,Party 1741,1007680,Customer Name1559,203040097,11100077,Item Category62,SKU221,2996,-1034.96,-1034.959961,0,0,1961.04,-1600.543,61.24,421.737,1,2025-01-29,15:15:55
2025-02-17 18:12:35,Sales Channel 6,Party 1741,1007680,Customer Name1559,203019729,11100078,Item Category117,SKU1203,8940,-2184.36,-2184.360107,0,0,6755.64,-2676.308,-245.44,3833.892,1,2025-02-17,18:12:35
2025-02-13 15:17:11,Sales Channel 6,Party 1741,1007680,Customer Name1559,202882910,11100079,Item Category87,SKU2418,7048,-2241.64,-2241.639893,0,0,4806.36,-3296.616,-514.12,995.624,1,2025-02-13,15:17:11
2025-01-24 22:13:07,Sales Channel 4,Party 3046,1003121,Customer Name141,202513402,11100080,Item Category25,SKU1453,1460,0,0,0,0,1460,-1053.953,74.52,480.567,1,2025-01-24,22:13:07
2025-01-17 15:16:35,Sales Channel 6,Party 1731,1012037,Customer Name4877,202809779,11100081,Item Category94,SKU2704,1556,-814.44,0,0,-814.4400024,741.56,-1502.955,-163.44,-924.835,1,2025-01-17,15:16:35
2025-01-20 18:09:20,Sales Channel 4,Party 278,1005350,Customer Name6345,202834904,11100082,Item Category68,SKU1192,3400,-264.4,-80.40000153,-184,0,3135.6,-745.44,-125.48,2264.68,1,2025-01-20,18:09:20
2025-01-29 18:19:48,Sales Channel 6,Party 2009,1003971,Customer Name623,202425463,11100083,Item Category27,SKU719,10480,0,0,0,0,10480,-7694.63,36.8,2822.17,5,2025-01-29,18:19:48
2025-01-08 18:13:01,Sales Channel 4,Party 3046,1003121,Customer Name141,203041964,11100084,Item Category53,SKU2326,2484,0,0,0,0,2484,-1755.105,-209.44,519.455,1,2025-01-08,18:13:01
2025-02-27 11:14:51,Sales Channel 6,Party 427,1010094,Customer Name6913,202921948,11100085,Item Category67,SKU1424,1264,0,0,0,0,1264,-667.356,-37.76,558.884,4,2025-02-27,11:14:51
2025-02-28 08:14:58,Sales Channel 4,Party 3254,1012375,Customer Name2701,202621640,11100086,Item Category27,SKU702,2620,0,0,0,0,2620,-1533.376,-8.76,1077.864,1,2025-02-28,08:14:58
2025-01-07 08:12:11,Sales Channel 6,Party 1741,1007680,Customer Name1559,202415653,11100087,Item Category102,SKU2531,2644,-561.12,-561.1199951,0,0,2082.88,-1591.704,26.64,517.816,1,2025-01-07,08:12:11
2025-01-28 08:16:12,Sales Channel 6,Party 2009,1003971,Customer Name623,203052991,11100088,Item Category112,SKU858,3616,-540,0,-540,0,3076,-820.95,-76.04,2179.01,1,2025-01-28,08:16:12
2025-02-28 08:15:14,Sales Channel 6,Party 146,1011633,Customer Name552,202459722,11100089,Item Category94,SKU2772,2672,0,0,0,0,2672,-1430.909,-163.44,1077.651,1,2025-02-28,08:15:14
2025-01-14 08:13:12,Sales Channel 6,Party 1302,1014305,Customer Name463,202930946,11100090,Item Category73,SKU1960,3404,0,0,0,0,3404,-1833.478,15.16,1585.682,1,2025-01-14,08:13:12
2025-01-17 15:16:35,Sales Channel 4,Party 1153,1009803,Customer Name2570,202771347,11100091,Item Category25,SKU2237,1700,0,0,0,0,1700,-1107.88,74.52,666.64,1,2025-01-17,15:16:35
2025-01-03 22:26:12,Sales Channel 4,Party 1266,1009418,Customer Name2545,202559633,11100092,Item Category112,SKU2429,1892,0,0,0,0,1892,-992.335,-80.24,819.425,1,2025-01-03,22:26:12
2025-02-20 22:13:42,Sales Channel 4,Party 278,1014035,Customer Name2684,202541919,11100093,Item Category59,SKU714,14568,-5091,-243,-4848,0,9477,-5106.843,-193.44,4176.717,1,2025-02-20,22:13:42
2025-02-21 08:13:20,Sales Channel 4,Party 2320,1008967,Customer Name4521,202655029,11100094,Item Category27,SKU435,2240,0,0,0,0,2240,-1536.364,-17.68,685.956,1,2025-02-21,08:13:20
2025-02-27 11:15:17,Sales Channel 6,Party 1741,1007680,Customer Name1559,202970388,11100095,Item Category33,SKU2381,2596,-261.6,-261.6000061,0,0,2334.4,-1435.05,-132.8,766.55,1,2025-02-27,11:15:17
2025-01-02 22:15:27,Sales Channel 10,Party 750,1002259,Customer Name3946,202479426,11100096,Item Category30,SKU2266,57640,-17048.359,-17048.35938,0,0,40591.641,-14482.26,-936.6,25172.78,1,2025-01-02,22:15:27
2025-02-20 11:08:27,Sales Channel 4,Party 3476,1005969,Customer Name223,202540126,11100097,Item Category1,SKU1723,36,0,0,0,0,36,-26.671,-3.8,5.529,1,2025-02-20,11:08:27
2025-01-21 15:14:32,Sales Channel 6,Party 1741,1007680,Customer Name1559,202714842,11100098,Item Category33,SKU152,2644,-624,-624,0,0,2020,-1432.433,-132.8,454.767,1,2025-01-21,15:14:32
2025-02-12 08:17:44,Sales Channel 6,Party 1741,1013099,Customer Name4282,202449566,11100099,Item Category102,SKU2243,2348,-560.08,-560.0800171,0,0,1787.92,-1224.834,44.28,607.366,1,2025-02-12,08:17:44
2025-01-21 22:20:49,Sales Channel 4,Party 2320,1002198,Customer Name4748,202899579,11100100,Item Category94,SKU153,1728,0,0,0,0,1728,-1112.689,-163.44,451.871,1,2025-01-21,22:20:49
2025-01-30 15:14:54,Sales Channel 6,Party 1741,1007680,Customer Name1559,202513038,11100101,Item Category33,SKU559,3256,-835.12,-835.1199951,0,0,2420.88,-1674.617,-134.72,611.543,1,2025-01-30,15:14:54
2025-02-11 22:24:57,Sales Channel 4,Party 2529,1003506,Customer Name1624,202909233,11100102,Item Category115,SKU1211,50960,0,0,0,0,50960,-27460.171,-4618.64,18881.189,13,2025-02-11,22:24:57
2025-02-28 22:12:43,Sales Channel 6,Party 1741,1007680,Customer Name1559,202606471,11100103,Item Category104,SKU1562,1396,-24.44,-24.44000053,0,0,1371.56,-880.421,-176.44,314.699,1,2025-02-28,22:12:43
2025-02-07 08:12:07,Sales Channel 6,Party 2009,1003971,Customer Name623,202765323,11100104,Item Category33,SKU1838,5456,0,0,0,0,5456,-3144.871,-173.2,2137.929,1,2025-02-07,08:12:07
2025-02-11 08:16:38,Sales Channel 6,Party 2009,1003971,Customer Name623,202790564,11100105,Item Category33,SKU1998,2792,0,0,0,0,2792,-1571.923,-134.72,1085.357,1,2025-02-11,08:16:38
2025-02-25 22:12:49,Sales Channel 4,Party 3352,1010553,Customer Name3014,202945523,11100106,Item Category114,SKU1842,40,0,0,0,0,40,-21.71,-3.84,14.45,1,2025-02-25,22:12:49
2025-02-12 08:17:52,Sales Channel 6,Party 1741,1007680,Customer Name1559,202418088,11100107,Item Category104,SKU1959,2348,-493.04,-493.0400085,0,0,1854.96,-915.73,-187,752.23,1,2025-02-12,08:17:52
2025-01-17 08:27:54,Sales Channel 4,Party 755,1003398,Customer Name6658,202683808,11100108,Item Category100,SKU1267,148,0,0,0,0,148,-77.287,-7.64,63.073,1,2025-01-17,08:27:54
2025-01-14 22:16:19,Sales Channel 4,Party 3154,1002447,Customer Name486,202525897,11100109,Item Category94,SKU2306,5760,0,0,0,0,5760,-4186.697,-441.84,1131.463,3,2025-01-14,22:16:19
2025-02-10 22:12:13,Sales Channel 8,Party 3594,1004377,Customer Name6199,202840088,11100110,Item Category106,SKU133,7728,-268,0,-804,0,6924,-3290.183,-309.84,3323.977,3,2025-02-10,22:12:13
2025-01-15 08:26:38,Sales Channel 6,Party 1741,1007680,Customer Name1559,202792010,11100111,Item Category102,SKU1497,1908,-308.52,-308.519989,0,0,1599.48,-1188.061,50.96,462.379,1,2025-01-15,08:26:38
2025-01-21 15:14:32,Sales Channel 6,Party 1741,1007680,Customer Name1559,202961600,11100112,Item Category27,SKU435,2308,-295.84,-295.8399963,0,0,2012.16,-1536.364,-17.68,458.116,1,2025-01-21,15:14:32
2025-02-06 15:19:53,Sales Channel 8,Party 3189,1008525,Customer Name3584,202614614,11100113,Item Category61,SKU785,3028,-148,0,-148,0,2880,-1776.82,-122.84,980.34,1,2025-02-06,15:19:53
2025-02-20 08:16:03,Sales Channel 4,Party 278,1009458,Customer Name2411,202996605,11100114,Item Category57,SKU1864,1352,0,0,0,0,1352,-296.298,-39.16,1016.542,1,2025-02-20,08:16:03
2025-01-29 22:15:17,Sales Channel 6,Party 1741,1007680,Customer Name1559,202473225,11100115,Item Category104,SKU1562,1396,-24.44,-24.44000053,0,0,1371.56,-880.421,-176.44,314.699,1,2025-01-29,22:15:17
2025-02-20 08:15:49,Sales Channel 6,Party 2009,1003971,Customer Name623,202592639,11100116,Item Category49,SKU1043,1060,0,0,0,0,1060,-491.305,-66.16,502.535,1,2025-02-20,08:15:49
2025-01-03 22:25:30,Sales Channel 6,Party 926,1007246,Customer Name628,202800145,11100117,Item Category33,SKU2745,2876,-880,-880,0,0,1996,-1420.744,-132.8,442.456,1,2025-01-03,22:25:30
2025-01-21 22:20:39,Sales Channel 4,Party 2913,1008852,Customer Name3094,202563087,11100118,Item Category25,SKU1679,1240,0,0,0,0,1240,-901.942,88.16,426.218,1,2025-01-21,22:20:39
2025-01-02 15:17:45,Sales Channel 6,Party 1741,1007680,Customer Name1559,202686772,11100119,Item Category102,SKU558,2496,-574.24,-574.2399902,0,0,1921.76,-1457.863,46.16,510.057,1,2025-01-02,15:17:45
2025-01-03 08:12:47,Sales Channel 6,Party 1741,1007680,Customer Name1559,202646471,11100120,Item Category33,SKU1199,2812,-615.16,-615.1599731,0,0,2196.84,-1523.425,-132.8,540.615,1,2025-01-03,08:12:47
2025-02-10 15:13:18,Sales Channel 4,Party 3352,1010357,Customer Name2008,202494513,11100121,Item Category34,SKU918,732,0,0,0,0,732,-419.568,-54.36,258.072,1,2025-02-10,15:13:18
2025-01-13 15:11:34,Sales Channel 4,Party 3207,1011315,Customer Name4863,203017957,11100122,Item Category34,SKU2242,5820,0,0,0,0,5820,-2098.322,-271.8,3449.878,5,2025-01-13,15:11:34
2025-01-30 22:18:54,Sales Channel 6,Party 2730,1012611,Customer Name5227,202648923,11100123,Item Category60,SKU2859,3604,-932.6,-932.5999756,0,0,2671.4,-1444.342,-204.12,1022.938,1,2025-01-30,22:18:54
2025-01-28 22:17:42,Sales Channel 6,Party 546,1013695,Customer Name4416,202715443,11100124,Item Category33,SKU2745,2876,-780,-780,0,0,2096,-1420.744,-132.8,542.456,1,2025-01-28,22:17:42
2025-02-19 08:10:52,Sales Channel 6,Party 2009,1003971,Customer Name623,202597109,11100125,Item Category25,SKU669,1676,0,0,0,0,1676,-881.638,88.16,882.522,1,2025-02-19,08:10:52
2025-02-26 11:09:58,Sales Channel 6,Party 1741,1007680,Customer Name1559,202596846,11100126,Item Category104,SKU2743,2496,-574.24,-574.2399902,0,0,1921.76,-1097.994,-190.08,633.686,1,2025-02-26,11:09:58
